"Reading Date","1 am KWH Usage","2 am KWH Usage","3 am KWH Usage","4 am KWH Usage","5 am KWH Usage","6 am KWH Usage","7 am KWH Usage","8 am KWH Usage","9 am KWH Usage","10 am KWH Usage","11 am KWH Usage","12 pm KWH Usage","1 pm KWH Usage","2 pm KWH Usage","3 pm KWH Usage","4 pm KWH Usage","5 pm KWH Usage","6 pm KWH Usage","7 pm KWH Usage","8 pm KWH Usage","9 pm KWH Usage","10 pm KWH Usage","11 pm KWH Usage","12 pm KWH Usage","[touInquiry_download_Total_Tier_1_Consumption]","[touInquiry_download_Total_Tier_2_Consumption]"
"2026-01-11","0.760","1.000","1.420","1.320","1.460","1.080","1.930","1.910","1.540","1.170","1.290","1.220","1.170","1.150","1.200","1.160","1.900","1.540","2.180","2.780","1.980","1.890","2.070","0.850","35.97","0",
"2026-01-12","1.650","2.030","2.380","1.870","1.890","2.220","2.480","2.380","1.980","1.860","1.960","2.440","1.540","1.600","1.260","2.000","1.460","1.570","1.880","1.430","2.360","1.900","1.850","0.490","44.48","0",
"2026-01-13","0.960","1.300","1.130","2.220","1.130","1.320","2.390","1.580","1.360","2.930","2.180","1.880","1.150","1.830","1.740","1.310","1.020","1.180","2.500","1.070","1.160","1.260","1.220","0.790","36.61","0",
"2026-01-14","0.990","0.910","1.370","0.980","1.040","0.830","1.850","1.260","1.010","1.150","0.960","0.900","1.430","0.780","1.470","1.270","1.130","1.340","2.830","0.580","0.790","1.100","1.330","1.590","28.89","0",
"2026-01-15","2.170","3.690","2.980","2.590","2.500","3.220","2.900","3.430","3.040","3.250","3.750","2.720","3.100","3.190","2.540","3.710","3.630","4.260","4.530","3.030","5.680","2.300","3.030","1.630","76.87","0",
"2026-01-16","3.460","3.950","2.580","5.850","3.230","5.290","3.390","5.200","11.990","4.950","3.850","6.650","1.980","2.800","2.620","2.400","2.230","3.230","3.730","3.810","1.990","1.540","1.960","1.680","90.36","0",
"2026-01-17","1.920","2.270","1.520","1.540","2.140","1.360","1.970","2.480","1.670","2.440","2.560","1.620","1.290","1.230","2.160","1.110","2.030","1.160","2.920","1.770","1.530","1.540","2.080","0.750","43.06","0",
"2026-01-18","1.250","1.270","1.540","2.290","1.520","1.700","2.750","2.840","1.730","1.790","1.710","1.590","2.330","1.570","2.720","2.920","1.700","1.840","1.710","3.080","2.180","2.420","2.090","0.770","47.31","0",
"2026-01-19","1.120","2.610","1.750","1.560","2.600","1.690","3.080","2.680","2.620","2.450","2.760","2.810","1.970","1.580","1.540","2.280","2.370","2.090","5.430","5.100","4.580","4.940","4.480","1.620","4.08","61.63",
"2026-01-20","1.280","3.020","2.490","2.930","2.920","2.940","3.380","1.980","3.230","4.650","3.250","2.390","2.630","2.110","1.660","1.970","2.480","2.300","2.430","2.790","3.480","3.000","2.610","0.580","0","62.50",
"2026-01-21","2.220","2.090","3.250","2.850","2.420","2.110","3.280","2.760","2.960","2.400","2.780","1.970","2.490","1.920","2.750","3.010","2.640","2.380","3.570","3.790","3.170","2.480","1.410","0.660","0","61.36",
"2026-01-22","1.030","1.610","1.240","1.240","2.020","1.430","2.780","2.420","1.950","2.290","1.810","1.450","1.680","1.140","0.890","1.080","1.590","2.550","2.100","2.090","2.500","2.130","1.950","0.890","0","41.86",
"2026-01-23","1.740","2.720","2.870","2.360","2.470","2.270","3.040","3.350","3.600","3.600","1.970","2.950","2.370","2.360","2.260","2.450","2.320","3.810","3.770","3.990","2.780","5.070","2.460","3.540","0","70.12",
"2026-01-24","5.370","2.870","8.810","8.680","7.250","8.270","6.910","9.760","9.880","10.540","2.680","6.860","5.390","4.500","6.850","2.950","2.790","3.870","3.800","4.930","3.280","7.820","3.490","2.450","0","140.00",
"2026-01-25","5.810","3.400","5.060","4.260","4.240","6.880","3.260","10.390","3.300","3.800","7.230","2.700","6.740","2.830","3.170","5.150","4.730","4.710","6.690","4.330","5.890","3.030","2.420","2.390","0","112.41",
"2026-01-26","5.890","2.970","5.360","3.020","5.950","3.280","5.810","6.450","3.470","7.030","2.060","2.580","3.760","4.250","2.210","2.990","3.290","6.030","4.360","3.290","2.290","3.310","3.220","2.530","0","95.40",
"2026-01-27","2.410","3.350","3.020","2.830","3.540","2.900","2.830","3.520","3.580","3.460","3.290","2.790","3.210","2.750","3.480","2.620","3.250","2.570","2.710","3.220","5.500","4.600","4.140","1.670","0","77.24",
"2026-01-28","3.000","2.880","6.060","2.290","4.930","2.970","3.360","7.150","4.530","3.680","4.540","2.290","2.850","2.530","1.760","1.800","2.110","3.160","3.640","2.820","2.000","3.790","6.160","3.580","0","83.88",
"2026-01-29","4.050","2.190","2.340","3.530","3.170","3.370","3.750","4.070","6.980","4.230","3.060","3.020","3.370","2.500","2.250","2.060","2.740","2.720","3.130","3.250","6.770","2.850","3.270","2.420","0","81.09",
"2026-01-30","2.850","3.380","3.080","2.570","7.040","9.570","7.590","9.120","10.540","6.910","8.110","4.890","3.380","3.730","2.880","3.780","3.530","2.550","3.250","4.340","4.600","5.270","3.680","0.850","0","117.49",
"2026-01-31","2.290","3.240","3.500","2.630","3.500","3.600","2.990","3.750","5.440","4.700","8.970","2.560","2.820","2.380","2.490","1.940","3.110","2.920","3.100","4.290","2.050","2.950","2.790","2.440","0","80.45",
"2026-02-01","2.060","3.020","3.180","4.560","2.340","3.240","3.840","3.550","6.300","2.270","3.310","2.680","3.080","2.040","2.230","1.860","2.380","1.700","3.390","3.730","4.240","3.490","10.640","1.290","0","80.42",
"2026-02-02","2.190","3.060","3.610","3.650","2.670","3.540","3.070","4.150","5.270","4.000","4.200","2.360","2.110","2.810","2.310","0.810","1.350","2.270","1.690","1.580","3.380","3.150","2.690","2.340","0","68.26",
"2026-02-03","2.540","3.330","2.810","2.680","2.760","2.580","3.370","3.160","2.980","2.350","2.530","2.590","1.870","2.020","2.950","1.810","2.050","3.630","3.140","1.680","2.290","4.110","2.450","1.670","0","63.35",
"2026-02-04","1.910","3.050","2.790","2.660","3.410","2.150","3.610","3.670","4.590","5.120","5.350","3.270","2.010","2.410","1.260","0.970","2.640","3.120","2.370","3.480","2.220","2.300","2.410","1.150","0","67.92",
"2026-02-05","2.770","2.870","2.980","2.920","3.060","3.590","3.650","3.060","4.850","6.000","3.790","4.200","2.400","2.830","1.950","2.150","1.950","2.300","2.720","2.630","2.800","3.120","3.760","1.980","0","74.33",
"2026-02-06","2.120","3.210","2.610","3.530","5.230","2.990","3.300","7.650","2.110","3.540","2.550","4.160","3.640","3.320","1.690","2.240","1.740","3.120","2.010","2.530","1.630","2.370","4.380","1.560","0","73.23",
"2026-02-07","2.280","3.880","3.720","2.940","3.590","2.530","3.910","12.240","4.750","5.210","5.760","3.890","4.480","3.000","3.430","3.340","3.640","4.420","3.010","5.660","3.350","6.290","3.080","3.940","0","102.34",
"2026-02-08","6.480","4.430","6.240","8.190","7.910","7.430","9.360","10.170","8.510","2.960","8.480","5.240","2.690","3.280","2.740","3.560","1.320","3.410","3.890","3.520","3.540","3.050","4.120","2.950","0","123.47",
"2026-02-09","2.930","2.890","2.820","3.510","10.860","3.300","6.670","9.010","3.870","6.060","3.150","2.650","3.210","2.090","3.300","4.290","3.050","3.630","5.160","5.560","4.030","4.170","2.970","4.680","0","103.86",
"2026-02-10","3.320","3.220","2.770","3.500","2.200","3.150","3.290","3.380","3.650","2.680","2.300","2.780","3.470","2.270","2.910","2.160","2.820","3.500","6.140","1.100","1.340","2.230","3.690","2.720","0","70.59",
"2026-02-11","0.990","1.610","1.930","1.760","2.410","2.110","2.100","2.760","1.750","1.850","2.230","1.640","1.410","1.330","1.850","1.630","1.530","1.430","2.160","2.690","2.440","1.900","2.880","1.580","0","45.97",
"2026-02-12","1.860","2.450","2.050","2.040","2.650","2.170","3.320","3.840","2.480","1.900","1.670","1.550","1.640","1.510","0.780","0.880","1.960","1.720","2.220","3.950","5.260","2.980","2.670","1.570","0","55.12",
"2026-02-13","2.200","2.710","2.740","3.260","3.120","2.690","3.570","2.560","4.460","3.780","3.020","2.040","2.570","2.500","1.740","0.670","2.490","1.860","1.530","1.810","2.150","1.900","2.250","1.330","0","58.95",
"2026-02-14","1.610","2.110","1.880","1.460","1.520","1.600","3.140","1.700","2.230","2.000","1.040","1.770","1.350","1.760","1.240","1.190","1.250","1.570","2.600","2.340","1.050","1.640","1.940","1.100","0","41.09",
"2026-02-15","1.610","2.150","2.930","2.730","2.320","2.760","2.690","3.860","2.690","2.140","2.010","1.930","1.360","0.840","2.460","4.070","3.580","3.000","2.360","2.870","1.800","2.220","2.120","0.570","0","57.07",
"2026-02-16","1.440","1.630","2.180","1.770","2.360","1.760","3.010","3.590","3.280","1.760","1.750","0.990","1.130","0.780","0.450","4.940","1.070","1.870","2.290","1.570","2.160","1.850","1.650","0.550","0","45.83",
"2026-02-17","0.870","1.230","1.650","1.810","2.180","1.290","2.130","2.190","1.800","1.310","0.960","1.070","0.720","0.600","0.910","0.950","0.880","1.340","1.780","1.020","1.170","2.610","1.420","0.550","0","32.44",
"2026-02-18","1.070","1.250","1.860","1.240","1.490","2.030","2.810","2.200","2.050","2.190","2.330","1.830","1.600","1.650","1.520","1.650","1.730","1.570","2.080","1.580","2.040","2.350","1.990","0.820","0","42.93",
"2026-02-19","1.320","1.720","1.800","1.660","1.680","1.480","2.380","1.910","2.630","1.760","1.640","1.490","0.980","1.000","1.750","0.670","1.310","1.720","1.720","1.900","1.720","3.730","2.240","0.570","0","40.78",
"2026-02-20","1.090","1.670","1.550","1.290","1.500","1.590","2.070","1.960","1.480","2.400","2.240","2.000","1.750","2.060","1.470","1.640","2.030","2.980","2.840","3.140","1.260","3.930","2.140","0.510","0","46.59",
"2026-02-21","0.420","0.680","1.220","2.380","1.840","2.250","2.700","3.940","1.900","2.520","1.880","1.920","1.410","1.430","2.170","1.590","2.570","1.880","2.580","3.090","1.430","1.790","2.700","1.510","0","47.80",
"2026-02-22","2.210","2.350","1.730","2.890","2.480","1.720","3.280","3.890","1.950","1.890","2.630","2.340","1.310","1.020","1.690","1.810","2.630","4.530","4.050","3.090","3.220","2.490","2.690","1.060","0","58.95",
"2026-02-23","1.990","1.880","1.740","1.650","2.360","2.570","2.450","2.620","2.280","1.980","1.380","2.090","1.810","1.310","1.420","1.070","0.940","2.650","1.940","1.300","1.840","1.880","2.850","0.930","0","44.93",
"2026-02-24","2.610","3.040","3.060","3.100","2.700","3.240","2.690","3.420","3.060","3.270","4.250","3.270","2.830","2.160","3.600","4.470","5.100","4.580","4.130","2.020","2.770","5.470","5.540","1.040","0","81.42",
"2026-02-25","1.980","2.240","2.470","2.190","2.630","1.740","3.010","4.220","2.020","1.710","1.770","2.170","1.890","2.260","1.090","1.300","1.190","2.200","1.820","1.200","1.350","1.570","2.280","1.010","0","47.31",
"2026-02-26","1.970","1.880","2.200","1.910","1.860","2.190","2.680","3.050","2.540","1.900","2.120","2.250","1.470","1.180","1.320","1.600","1.710","1.660","3.230","1.620","1.760","2.020","2.760","1.570","0","48.45",
"2026-02-27","2.070","2.920","1.990","2.340","1.910","2.400","2.600","3.220","1.850","1.930","2.550","1.820","1.810","1.430","1.310","1.090","1.270","1.330","1.450","1.370","1.490","1.640","1.270","0.680","0","43.74",
"2026-02-28","0.820","1.310","1.390","1.170","1.080","1.020","2.040","1.600","1.810","1.250","0.820","0.690","0.500","0.450","0.280","0.310","1.190","1.380","2.870","1.930","1.150","1.430","2.030","0.960","0","29.48",
"2026-03-01","1.540","2.050","1.730","1.900","1.820","2.340","3.620","3.570","2.910","2.620","1.870","2.320","2.150","2.060","1.770","1.200","1.320","1.870","2.660","3.660","3.230","2.450","3.130","1.780","0","55.57",







,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Note: Ontario's electricity system operates in Eastern Standard Time. Therefore, during Daylight Saving Time, the daily consumption values shown here may differ slightly from the billed amounts."
